#,title,artist,top genre,year,bpm
475,First Time,Kygo,edm,2017,90
476,The Cure,Lady Gaga,dance pop,2017,100
477,"How Far I'll Go - From ""Moana""",Alessia Cara,canadian contemporary r&b,2017,181
478,Bodak Yellow,Cardi B,pop,2017,125
479,Rich Love (with Seeb),OneRepublic,dance pop,2017,105
480,Tired,Alan Walker,electro house,2017,124
481,Came Here for Love,Sigala,dance pop,2017,125
482,24K Magic,Bruno Mars,pop,2017,107
483,Strip That Down (feat. Quavo),Liam Payne,dance pop,2017,106
484,Cut To The Feeling,Carly Rae Jepsen,canadian pop,2017,115
485,OK - Spotify Version,Robin Schulz,dance pop,2017,122
486,Bon app�tit,Katy Perry,dance pop,2017,106
487,Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,art pop,2017,135
488,Get Low (with Liam Payne),Zedd,complextro,2017,108
489,Kissing Strangers,DNCE,dance pop,2017,120
490,Slow Hands,Niall Horan,dance pop,2017,86
491,Younger Now,Miley Cyrus,dance pop,2017,122
492,Body Moves,DNCE,dance pop,2017,102
493,Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,belgian edm,2017,122
494,Angel,Fifth Harmony,dance pop,2017,124
495,Touch (feat. Kid Ink),Little Mix,dance pop,2017,102
496,We Don't Talk Anymore - DROELOE Remix,Charlie Puth,dance pop,2017,100
497,Love Incredible (feat. Camila Cabello),Cashmere Cat,downtempo,2017,167
498,No Vacancy (with Sebasti�n Yatra),OneRepublic,dance pop,2017,100
499,Rich Boy,Galantis,big room,2017,110
500,Lust for Life (with The Weeknd),Lana Del Rey,art pop,2017,100
501,Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,dance pop,2017,115
502,Influence,Tove Lo,dance pop,2017,105
503,Remember I Told You,Nick Jonas,dance pop,2017,113
504,Messin' Around,Pitbull,dance pop,2017,158
505,Water Under the Bridge,Adele,british soul,2017,95
506,Free Me,Sia,australian dance,2017,87
507,Kissing Strangers - Remix,DNCE,dance pop,2017,120
508,A L I E N S,Coldplay,permanent wave,2017,148
509,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124
510,Havana (feat. Young Thug),Camila Cabello,dance pop,2018,105
511,I Like It,Cardi B,pop,2018,136
512,New Rules,Dua Lipa,dance pop,2018,116
513,There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop,2018,122
514,no tears left to cry,Ariana Grande,dance pop,2018,122
515,IDGAF,Dua Lipa,dance pop,2018,97
516,In My Blood,Shawn Mendes,canadian pop,2018,140
517,Wolves,Selena Gomez,dance pop,2018,125
518,Dusk Till Dawn - Radio Edit,ZAYN,dance pop,2018,180
519,Attention,Charlie Puth,dance pop,2018,100
520,Electricity (with Dua Lipa),Silk City,edm,2018,118
521,Love On The Brain,Rihanna,barbadian pop,2018,172
522,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,dance pop,2018,103
523,Silence,Marshmello,brostep,2018,142
524,Sorry Not Sorry,Demi Lovato,dance pop,2018,144
525,Shallow - Radio Edit,Lady Gaga,dance pop,2018,96
526,These Days,Rudimental,dance pop,2018,92
527,What Lovers Do (feat. SZA),Maroon 5,pop,2018,110
528,Finesse - Remix; feat. Cardi B,Bruno Mars,pop,2018,105
529,Perfect Duet (Ed Sheeran & Beyonc�),Ed Sheeran,pop,2018,95
530,Bad At Love,Halsey,dance pop,2018,118
531,Him & I (with Halsey),G-Eazy,hip hop,2018,88
532,Friends (with BloodPop�),Justin Bieber,canadian pop,2018,105
533,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,dance pop,2018,98
534,My My My!,Troye Sivan,dance pop,2018,103
535,Capital Letters,Hailee Steinfeld,dance pop,2018,100
536,Sick Boy,The Chainsmokers,electropop,2018,90
537,Tequila,Dan + Shay,contemporary country,2018,86
538,Look What You Made Me Do,Taylor Swift,pop,2018,128
539,Youth (feat. Khalid),Shawn Mendes,canadian pop,2018,100
540,Bad Liar,Selena Gomez,dance pop,2018,121
541,Anywhere,Rita Ora,dance pop,2018,107
542,Say Something,Justin Timberlake,dance pop,2018,97
543,Chun-Li,Nicki Minaj,dance pop,2018,129
544,Sign of the Times,Harry Styles,dance pop,2018,120
545,Familiar,Liam Payne,dance pop,2018,93
546,Let Me,ZAYN,dance pop,2018,168
547,Supernova,Ansel Elgort,dance pop,2018,140
548,Nervous,Shawn Mendes,canadian pop,2018,122
549,First Time,Kygo,edm,2018,90
550,End Game,Taylor Swift,pop,2018,159
551,Mi Gente (feat. Beyonc�),J Balvin,latin,2018,105
552,Lemon,N.E.R.D,hip hop,2018,95
553,For You (With Rita Ora),Liam Payne,dance pop,2018,113
554,Want To,Dua Lipa,dance pop,2018,92
555,What I Need (feat. Kehlani),Hayley Kiyoko,dance pop,2018,104
556,Wait,Maroon 5,pop,2018,126
557,What About Us,P!nk,dance pop,2018,114
558,Kissing Strangers,DNCE,dance pop,2018,120
559,2U (feat. Justin Bieber),David Guetta,dance pop,2018,145
560,Walk On Water (feat. Beyonc�),Eminem,detroit hip hop,2018,82
561,This Town,Niall Horan,dance pop,2018,112
562,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,dance pop,2018,94
563,MOVE TO MIAMI,Enrique Iglesias,dance pop,2018,100
564,Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,downtempo,2018,100
565,Filthy,Justin Timberlake,dance pop,2018,97
566,Never Be the Same - Radio Edit,Camila Cabello,dance pop,2018,130
567,Ferrari,Bebe Rexha,dance pop,2018,77
568,Supplies,Justin Timberlake,dance pop,2018,120
569,Boom Boom,RedOne,moroccan pop,2018,110
570,...Ready For It? - BloodPop� Remix,Taylor Swift,pop,2018,160
571,Drip (feat. Migos),Cardi B,pop,2018,130
572,Tell Me You Love Me - NOTD Remix,Demi Lovato,dance pop,2018,102
573,Memories,Maroon 5,pop,2019,91
574,Lose You To Love Me,Selena Gomez,dance pop,2019,102
575,Someone You Loved,Lewis Capaldi,pop,2019,110
576,Se�orita,Shawn Mendes,canadian pop,2019,117
577,How Do You Sleep?,Sam Smith,pop,2019,111
578,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,pop,2019,98
579,Trampoline (with ZAYN),SHAED,electropop,2019,127
580,Happier,Marshmello,brostep,2019,100
581,Truth Hurts,Lizzo,escape room,2019,158
582,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,escape room,2019,96
583,Higher Love,Kygo,edm,2019,104
584,Only Human,Jonas Brothers,boy band,2019,94
585,Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,93
586,Sucker,Jonas Brothers,boy band,2019,138
587,Don't Call Me Up,Mabel,dance pop,2019,99
588,I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,102
589,Talk (feat. Disclosure),Khalid,alternative r&b,2019,136
590,Giant (with Rag'n'Bone Man),Calvin Harris,dance pop,2019,122
591,Takeaway,The Chainsmokers,electropop,2019,100
592,All Around The World (La La La),R3HAB,big room,2019,125
593,Girls Like You (feat. Cardi B),Maroon 5,pop,2019,125
594,Call You Mine,The Chainsmokers,electropop,2019,104
595,No Guidance (feat. Drake),Chris Brown,dance pop,2019,93
596,Antisocial (with Travis Scott),Ed Sheeran,pop,2019,152
597,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,electronic trap,2019,96
598,Con Calma - Remix,Daddy Yankee,latin,2019,94
599,Find U Again (feat. Camila Cabello),Mark Ronson,dance pop,2019,104
600,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,2019,95
601,"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,dance pop,2019,136
602,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop,2019,114
603,Kills You Slowly,The Chainsmokers,electropop,2019,150
